,address,location
137,서울특별시 강남구 봉은사로44길 39 지하1층(역삼동),역삼우일점
138,서울특별시 강남구 논현로63길 7 ,역삼웰스토어점
139,서울특별시 강남구 언주로79길 33 (역삼동),역삼은석점
140,서울특별시 강남구 테헤란로14길 5  (역삼동),역삼은탑점 B
141,"서울특별시 강남구 선릉로85길 8 1층 102호(역삼동, 유화빌딩)",역삼진선점
142,"서울특별시 강남구 논현로85길 13 1층(역삼동, 근영빌딩)",역삼창조점
143,서울특별시 강남구 언주로 93길 28-8(역삼동) 코넬빌딩 1층,역삼코넬점
144,서울특별시 강남구 강남대로84길 28 청송빌딩 1층 전체(역삼동),역삼타운점
145,서울특별시 강남구 논현로94길 23 1층(역삼동),역삼테헤란점
146,서울특별시 강남구 테헤란로8길 46 (역삼동),역삼특허점
147,"서울특별시 강남구 테헤란로8길 28 1층(역삼동, 송강원)",역삼포은점
148,서울특별시 강남구 강남대로78길 12  (역삼동),역삼프레스티점
149,서울특별시 강남구 테헤란로25길 6-9 1층(역삼동),역삼하이츠점
150,서울특별시 강남구 테헤란로 38길 11(역삼동),역삼한서점
151,서울특별시 강남구 테헤란로 204 1층(역삼동),역삼한은점
152,서울특별시 강남구 언주로 107길 29 (역삼동),역삼해피점
153,서울 강남구 역삼동 테헤란로 152 비2층 강남파이낸스센터,역삼GFC점
154,서울특별시 강남구 테헤란로 335 1층(역삼동),역삼MG스타점
155,서울특별시 강남구 일원로3길 42 ,일원대청점
156,"서울특별시 강남구 일원로5길 58 1층 102,103호",일원미래점
157,서울특별시 강남구 선릉로132길 7 (청담동),청담2점 B
158,서울특별시 강남구 도산대로 96길 13 (청담동),청담7호점
159,서울특별시 강남구 도산대로 81길 39 (청담동),청담그린점
160,서울특별시 강남구 도산대로99길 26 1층 102호(청담동),청담대우점
161,서울특별시 강남구 학동로 523,청담루나점
162,"서울특별시 강남구 영동대로128길 5 청구A 101호(삼성동,청구상가)",청담좋은날점
163,서울특별시 강남구 학동로97길 20 청담빌딩 1층 (청담동),청담튼튼병원점
164,서울특별시 강남구 삼성로 149길 32 (청담동),청담황해점
165,서울특별시 강남구 영동대로 517 아셈타워 1층(삼성동),코엑스아셈타워점
166,서울 강남구 삼성로 85길 11 (대치동)롯데캐슬아파트 생활편익시설동,포스코센터점
167,서울특별시 강남구 개포20길 24-16(개포동),포이4호점
168,서울특별시 강남구 개포로 24길 6(개포동),포이5호점
169,서울특별시 강남구 개포로 209(개포동),포이사거리점
170,서울특별시 강남구 논현로 18길 14-1(개포동),포이중앙점
171,서울특별시 강남구 도산대로 335 1층,학동사거리점
172,서울특별시 강남구 논현동 논현로124길 27,학동점
173,서울특별시 강남구 테헤란로 322  (역삼동),한신점
174,서울특별시 강남구 역삼동 675-3 102호202호,KT강남점
175,"서울특별시 강남구 테헤란로 415 B101, 102호(삼성동)",L7강남점
176,서울특별시 강남구 개포로109길 5 강남종합사회복지관 1층 102호(개포동),강남대청점
177,서울특별시 강남구 논현로57길 24 1층,강남도곡로점
178,서울특별시 강남구 남부순환로361길 6 1층 106호 (도곡동),강남도곡점
179,"서울특별시 강남구 선릉로64길 15 1층 2호, 2호-1(대치동)",강남롯데점
180,서울특별시 강남구 언주로98길 37 ,강남선릉점
181,서울특별시 강남구 테헤란로53길 62 101호,강남언주로점
182,서울특별시 강남구 논현동 261 현대인텔렉스빌딩 지하1층 1호,강남인텔렉스점
183,서울특별시 강남구 일원로 95 (일원동),강남일원점
184,"서울특별시 강남구 학동로82길 21 (삼성동64, 제1층 코너상가)",강남청담점
185,"서울특별시 강남구 역삼동 825-20(테헤란로4길 6,126호)",강남푸르지오시티점
186,서울특별시 강남구 언주로150길 51,강남학동점
187,서울특별시 강남구 테헤란로 7길 8 ,강남IBC점
188,서울특별시 강남구 선릉로69길 7 (역삼동),강남SLI점
189,서울특별시 강남구 봉은사로37길 28 (논현동),강남YMCA점
190,서울특별시 강남구 선릉로 48 (개포동),개포1호점
191,서울특별시 강남구 개포로 512(개포동),개포2호점
192,서울특별시 강남구 삼성로4길 17 주공아파트 상가동 105호,개포5단지점
193,서울특별시 강남구 논현로4길 22 ,개포그린점
194,서울특별시 강남구 개포로28길 15 1층(개포동),개포본점
195,서울특별시 강남구 삼성로 38 개포빌딩 1층,개포주공점
196,"서울특별시 강남구 선릉로4길 5 제경빌딩 제1층 1,2호(개포동)",개포타운점
197,서울특별시 강남구 개포로 265 개포동 105호,개포현대점
198,"서울특별시 강남구 봉은사로 129,1층 3호 (논현동, 거평타운오피스텔)",거평타운점
199,서울특별시 강남구 영동대로 513 B21호(삼성동),공항타워점
200,서울특별시 강남구 선릉로131길 4 (논현동),논현11호점
