,address,location
102,"서울특별시 금천구 가산로7길 12, (가산동) 예림감리교회",가산조이점
103,"서울특별시 금천구 가산디지털2로 67, 이스하이엔드타워7차아파트 -(가산동) 1층 102호",가산하이엔드7차점
104,서울특별시 금천구 디지털로10길 9 현대시티아울렛가산점 (가산동) 현대시티아울렛가산점,가산현대아울렛점
105,"서울특별시 금천구 가산디지털1로 151, (가산동)",가산이노플렉스점
106,"서울특별시 금천구 가산디지털1로 45, (가산동) 1층 1동 1호",가산이엔씨8차점
107,"서울특별시 금천구 가산로7길 12, (가산동) 예림감리교회",가산조이점
108,"서울특별시 금천구 가산디지털2로 67, 이스하이엔드타워7차아파트 -(가산동) 1층 102호",가산하이엔드7차점
109,서울특별시 금천구 디지털로10길 9 현대시티아울렛가산점 (가산동) 현대시티아울렛가산점,가산현대아울렛점
110,"서울특별시 강남구 선릉로93길 50, (역삼동)",강남시티점
111,서울특별시 강남구 광평로47길 17 신동아아파트,강남신동아점
112,서울특별시 서초구 효령로77길 34 현대골든텔,강남아크로텔점
113,"서울특별시 강남구 봉은사로74길 15, (삼성동)",강남에스원점
114,"서울특별시 강남구 언주로 211, (도곡동)",강남연세장례식장점
115,"서울특별시 강남구 선릉로93길 50, (역삼동)",강남시티점
116,서울특별시 강남구 광평로47길 17 신동아아파트,강남신동아점
117,서울특별시 서초구 효령로77길 34 현대골든텔,강남아크로텔점
118,"서울특별시 강남구 봉은사로74길 15, (삼성동)",강남에스원점
119,"서울특별시 강남구 언주로 211, (도곡동)",강남연세장례식장점
120,"서울특별시 강남구 일원로3길 89, (일원동)",강남일원점
121,"서울특별시 강남구 자곡로 175, (자곡동, 엘에이치강남아이파크) 1층 101호",강남자곡점
122,"서울특별시 강남구 학동로101길 21, (청담동) 1층",강남청담점
123,"서울특별시 강남구 테헤란로4길 6, 강남역센트럴푸르지오시티 (역삼동) B동 110호",강남푸르지오점
124,"서울특별시 강남구 테헤란로 504, 지하(대치동) 1층 21114호",강남해성점
125,"서울특별시 서초구 강남대로61길 13,  (서초동) 1층",강남해커스점
126,서울특별시 강남구 양재대로55길 6 수서1단지아파트상가 1층,강남행복점
127,서울특별시 강동구 천중로 168 (길동),강동개나리점
128,"서울특별시 강동구 성내로 28, (성내동) 1층 107호",강동구청점
129,서울특별시 강동구 고덕로83길 42 (고덕동),강동그라시움점
130,서울특별시 강동구 암사18길 49,강동미소점
131,"서울특별시 강동구 진황도로 17, (천호동)",강동블루점
132,서울특별시 강동구 천호대로 1065 강동상떼빌,강동상떼빌점
133,"서울특별시 강동구 상일로5길 32, (상일동, 비젼빌딩)",강동상일로점
134,"서울특별시 강동구 성내로6가길 38, 코너  (성내동) 1층",강동성내로점
135,"서울특별시 강동구 성내로13길 57, (성내동)",강동성내점
136,"서울특별시 강동구 성안로 150, (길동)",강동성심병원점
137,서울특별시 강동구 구천면로 328 인성빌딩 (천호동) 인성빌딩,강동센트럴점
138,서울특별시 강동구 암사길 40,강동어울림점
139,"서울특별시 강동구 천호대로 1092, (성내동, 에스케이허브진) 1층 121호",강동역점
140,"서울특별시 강동구 천중로49길 32-17, (길동)",강동오네뜨점
141,서울특별시 강동구 성안로 191 신암빌딩,강동은성점
142,서울특별시 강동구 상암로 97,강동은혜점
143,서울특별시 강동구 천중로50길 27 청원빌라트,강동천중로점
144,"서울특별시 강동구 천호대로 1034, 탑메디칼센터  (성내동) 1층 101호",강동천호대로점
145,서울특별시 강동구 명일로 220,강동축복점
146,서울특별시 강동구 올림픽로 680,강동파크점
147,"서울특별시 강동구 양재대로113길 53 (길동, 예건타워빌아파트) 예건타워빌아파트",강동풍차점
148,서울특별시 강동구 진황도로 66 정암하이빌,강동하이빌점
149,"서울특별시 강동구 암사길 102, (암사동)",강동한솔점
150,서울특별시 강동구 양재대로128길 13 금관빌딩,강동해오름점
151,"서울특별시 강북구 덕릉로 99, (번동) 1층 103호",강북드림점
152,서울특별시 강북구 덕릉로42길 22 (번동),강북번우점
153,"서울특별시 강북구 삼양로 190, (미아동)",강북삼양점
154,"서울특별시 강북구 삼양로24길 45,  (미아동) 1층",강북송천점
155,서울특별시 강동구 양재대로128길 13 금관빌딩,강동해오름점
156,"서울특별시 강북구 덕릉로 99, (번동) 1층 103호",강북드림점
157,서울특별시 강북구 덕릉로42길 22 (번동),강북번우점
158,"서울특별시 강북구 삼양로 190, (미아동)",강북삼양점
159,"서울특별시 강북구 삼양로24길 45,  (미아동) 1층",강북송천점
160,"서울특별시 강북구 노해로 23, (수유동) 1층",강북수유점
161,서울특별시 강북구 도봉로24길 8 신성빌딩 1층,강북신성점
162,"서울특별시 강북구 인수봉로68길 37,  (수유동)",강북예술회관점
163,서울특별시 강북구 오패산로 271 1층,강북오패산로점
164,서울특별시 강북구 오현로25다길 95 (번동),강북율곡점
165,"서울특별시 강서구 공항대로46길 100, (화곡동)",강서경찰서점
166,"서울특별시 강서구 방화대로7나길 39, (공항동)",강서공항점
167,서울특별시 강서구 화곡로13길 111,강서다온점
168,"서울특별시 강서구 양천로26길 38, 경남아너스빌(방화동, 방화경남아너스빌1차아파트) 1층 1동 103호",강서도레미점
169,"서울특별시 강서구 공항대로 389, (등촌동) 1층",강서부민병원점
170,서울특별시 강서구 허준로 47 가양2단지아파트,강서웨스턴점
171,"서울특별시 강서구 양천로 401, 한강자이타워 (가양동) 1층 B동 104호",강서지식산업센터점
172,"서울특별시 강서구 강서로18길 146, (화곡동, 베스트힐타운) 101호",강서태양점
173,"서울특별시 강서구 등촌로13길 28,  (화곡동) 1층",강서한아름점
174,"서울특별시 강서구 화곡로42길 15, (화곡동)",강서화곡점
175,서울특별시 강서구 허준로 47 가양2단지아파트,강서웨스턴점
176,"서울특별시 강서구 양천로 401, 한강자이타워 (가양동) 1층 B동 104호",강서지식산업센터점
177,"서울특별시 강서구 강서로18길 146, (화곡동, 베스트힐타운) 101호",강서태양점
178,"서울특별시 강서구 등촌로13길 28,  (화곡동) 1층",강서한아름점
179,"서울특별시 강서구 화곡로42길 15, (화곡동)",강서화곡점
180,"서울특별시 강동구 아리수로97길 20, (강일동, 강일리버파크5단지아파트) 1층 1동 106호",강일5단지점
181,"서울특별시 강동구 아리수로94길 19, (강일동, 강일리버파크6단지아파트) 제1층 제상가동 제101호",강일재화점
182,"서울특별시 강동구 아리수로98길 25, (강일동, 강일리버파크7단지아파트) 1층 1동 104호",강일풍성점
183,서울특별시 강동구 천호대로168가길 57,강풀만화거리점
184,서울특별시 구로구 개봉로17길 46 안덕그린빌라,개봉그린점
185,서울특별시 구로구 남부순환로97길 20-10,개봉남부역점
186,서울특별시 구로구 개봉로2길 69,개봉목감천점
187,"서울특별시 구로구 남부순환로95길 54, (개봉동, 삼환아파트) 1층 상가동 111호,112호호",개봉삼환점
188,서울특별시 구로구 경서로1나길 1,개봉영웅점
189,"서울특별시 구로구 경인로40길 11 (개봉동, 영화아파트) 영화아파트",개봉영화점
190,서울특별시 구로구 고척로21가길 60,개봉푸르뫼점
191,"서울특별시 구로구 개봉로20길 158, 동 개봉동 현대홈타운(개봉동, 현대홈타운) 1층 1동 101호",개봉현대점
192,서울특별시 강남구 논현로16길 25,개포대성점
193, ,개포루체하임점
194,"서울특별시 강남구 선릉로10길 4, (개포동)",개포사랑점
195,서울특별시 구로구 고척로21가길 60,개봉푸르뫼점
196,"서울특별시 구로구 개봉로20길 158, 동 개봉동 현대홈타운(개봉동, 현대홈타운) 1층 1동 101호",개봉현대점
197,서울특별시 강남구 논현로16길 25,개포대성점
198, ,개포루체하임점
199,"서울특별시 강남구 선릉로10길 4, (개포동)",개포사랑점
200,"서울특별시 강남구 개포로17길 13, (개포동)",개포현대점
201,"서울특별시 강서구 양천로 19, (방화동) 1층",개화산역점
202,서울특별시 강서구 금낭화로 167 (방화동) 방화8단지 개화아파트,개화점
203,"서울특별시 송파구 양산로2길 38, (거여동, 거여6단지)",거여거원점
204,서울특별시 송파구 거마로3길 21,거여공원점
205,"서울특별시 광진구 동일로20길 44,  (자양동) 1층",건대로데오점
206,"서울특별시 광진구 능동로 120, 산학협동관 101호",건대산학협동관점
207,"서울특별시 광진구 능동로 110,  하(화양동) 1층",건대영존점
208,"서울특별시 광진구 아차산로39길 28, (자양동)",건대정문점
209,"서울특별시 광진구 아차산로 229, 한림타워  제(화양동) 1층 102호",건대한림타워점
210,"서울특별시 광진구 아차산로 241, (화양동)",건대화양점
211,"서울특별시 광진구 광나루로24길 31-17, (화양동)",건대후문점
212,서울특별시 광진구 광나루로20길 13-10,건대힐스점
213,"서울특별시 서대문구 경기대로 62,  (충정로2가) 2층",경기대사거리점
214,"서울특별시 동대문구 천호대로27길 73, (용두동)",경동사거리점
215,서울특별시 종로구 경교장1길 20-1,경희궁자이행복점
216,서울특별시 동대문구 경희대로4길 15,경희대점
217,"서울특별시 동대문구 경희대로3길 38, (회기동)",경희스타점
218,"서울특별시 동대문구 회기로18길 12, (회기동)",경희원룸점
219,"서울특별시 종로구 계동길 23,  (계동) 1층",계동현대점
220,"서울특별시 동대문구 안암로 156, (제기동)",고대1호점
221,"서울특별시 구로구 구로동로 148, 구로병원  (구로동) B1층",고대구로병원1호점
222,"서울특별시 구로구 가마산로 218, 고려구  로2빌딩(구로동) 1층",고대구로병원2호점
223,"서울특별시 성북구 인촌로24길 56,  (안암동5가) 1층",고대동문점
224,서울특별시 성북구 솔샘로1길 19 그린존 (정릉동) 그린존 B1층 1동 102호,고대부고점
225,"서울특별시 동대문구 안암로 156, (제기동)",고대1호점
226,"서울특별시 구로구 구로동로 148, 구로병원  (구로동) B1층",고대구로병원1호점
227,"서울특별시 구로구 가마산로 218, 고려구  로2빌딩(구로동) 1층",고대구로병원2호점
228,"서울특별시 성북구 인촌로24길 56,  (안암동5가) 1층",고대동문점
229,서울특별시 성북구 솔샘로1길 19 그린존 (정릉동) 그린존 B1층 1동 102호,고대부고점
230,서울특별시 강동구 고덕로55길 70,고덕래미안점
231,"서울특별시 강동구 상일로25길 7, (고덕동)",고덕에이스점
232,"서울특별시 성북구 인촌로 73, 고려대의료원  안암병원(안암동5가) 2층",고려대안암병원점
233,"서울특별시 구로구 중앙로14길 23, (고척동)",고척리가점
234,서울특별시 구로구 고척로33길 30,고척에이스점
235,"서울특별시 구로구 중앙로15길 87, (고척동)",고척은혜점
236,"서울특별시 동작구 알마타길 6, (대방동, 신동아파밀리에하늘마루아파트) 106호",공군회관점
237,"서울특별시 구로구 남부순환로105길 52, (가리봉동) 1층",공단오거리점
238,"서울특별시 마포구 만리재옛길 66-1, (공덕동)",공덕래미안점
239,서울특별시 마포구 만리재로 111 미네뜨오피스텔,공덕미네뜨점
240,서울특별시 마포구 효창원로 249,공덕배문점
241,"서울특별시 마포구 백범로37길 12, 상가동(신공덕동, 신공덕래미안1차아파트) 1층",공덕삼성점
242,"서울특별시 마포구 만리재로 45, (신공덕동) 2층 201호",공덕센트럴점
243,"서울특별시 마포구 백범로 178, (공덕동, 마포신영지웰) 1층",공덕역점
244,서울특별시 마포구 마포대로 156 공덕푸르지오시티 (공덕동) 공덕푸르지오시티,공덕푸르지오시티점
245,"서울특별시 마포구 효창목4길 3, 공덕동 (공덕동) 111동 14호",공덕한겨레2호점
246,"서울특별시 노원구 공릉로 187, (공릉동) 1층",공릉건설점
247,"서울특별시 노원구 동일로184길 56, (공릉동, 삼호골드타운) 1층 102호",공릉과기대점
248,"서울특별시 노원구 동일로198길 36, (공릉동)",공릉굴다리점
249,"서울특별시 노원구 공릉로42길 25, (공릉동)",공릉그랜드점
250,"서울특별시 마포구 효창목4길 3, 공덕동 (공덕동) 111동 14호",공덕한겨레2호점
251,"서울특별시 노원구 공릉로 187, (공릉동) 1층",공릉건설점
252,"서울특별시 노원구 동일로184길 56, (공릉동, 삼호골드타운) 1층 102호",공릉과기대점
253,"서울특별시 노원구 동일로198길 36, (공릉동)",공릉굴다리점
254,"서울특별시 노원구 공릉로42길 25, (공릉동)",공릉그랜드점
255,"서울특별시 노원구 동일로177길 29, (공릉동, 녹주) 1층",공릉녹주점
256,"서울특별시 노원구 섬밭로 123, 호(공릉동, 시영3차) 1층 1동 1호",공릉라이프점
257,"서울특별시 노원구 동일로183길 9, (공릉동)",공릉마중점
258,"서울특별시 노원구 동일로 1066, (공릉동)",공릉사거리점
259,"서울특별시 노원구 동일로192길 45, (공릉동) 1층",공릉스타점
260,"서울특별시 강서구 방화대로6바길 4,  (공항동) 1층",공항단지점
261,서울특별시 강서구 공항대로 549 1층,공항대로점
262,"서울특별시 강서구 방화동로 36-1, (공항동) 1층",공항시장점
263,"서울특별시 노원구 공릉로 232, 서울산업대학교  내(공릉동)",과학기술대생활관점
264,"서울특별시 관악구 남부순환로161가길 71, (신림동)",관악건영점
265,"서울특별시 강서구 방화대로6바길 4,  (공항동) 1층",공항단지점
266,서울특별시 강서구 공항대로 549 1층,공항대로점
267,"서울특별시 강서구 방화동로 36-1, (공항동) 1층",공항시장점
268,"서울특별시 노원구 공릉로 232, 서울산업대학교  내(공릉동)",과학기술대생활관점
269,"서울특별시 관악구 남부순환로161가길 71, (신림동)",관악건영점
270,"서울특별시 관악구 대학14길 15, (신림동)",관악고시촌점
271,"서울특별시 관악구 쑥고개로 124, (봉천동)",관악구청점
272,"서울특별시 관악구 난곡로26길 34, (신림동)",관악국화점
273,서울특별시 관악구 국회단지길 36,관악국회단지점
274,"서울특별시 관악구 솔밭로 5, (봉천동) 1층",관악낙성점
275,"서울특별시 관악구 남부순환로 1403, (신림동) 1층",관악대로점
276,서울특별시 관악구 남부순환로256라길 2,관악대성점
277,"서울특별시 관악구 신림로23길 49, (신림동)",관악동방점
